Beleg,BelegURL,Datum,Kategorie,Adressat,Betrag,Saldo
K-1,,2019-01-01,INIT,Übertrag aus 2018,1172.29160000002,   1172.29
K-2,,2019-03-01,SPENDE,*Datenschutz*,300,   1472.29
K-3,,2019-03-19,SPENDE,*Datenschutz*,1000,   2472.29
K-4,,2019-03-19,SPENDE,*Datenschutz*,2000,   4472.29
K-5,,2019-03-21,REISE,fee for bags Air Tanzania,-743.034055727554,   3729.26
K-6,,2019-03-21,MAT,Gauze / Bandages,-200.05,   3529.21
K-7,,2019-03-22,MAT,Ketamine,-339.17,   3190.04
K-8,,2019-03-22,REISE,storage for bags,-180,   3010.04
K-9,,2019-03-22,VISA,*Datenschutz*,-50,   2960.04
K-10,,2019-03-22,VISA,*Datenschutz*,-50,   2910.04
K-11,,2019-03-22,VISA,*Datenschutz*,-50,   2860.04
K-12,,2019-03-22,VISA,*Datenschutz*,-50,   2810.04
K-13,,2019-03-22,VISA,*Datenschutz*,-50,   2760.04
K-14,,2019-03-22,VISA,*Datenschutz*,-50,   2710.04
K-15,,2019-03-22,VISA,*Datenschutz*,-50,   2660.04
K-16,,2019-03-22,VISA,*Datenschutz*,-50,   2610.04
K-17,,2019-03-22,VISA,*Datenschutz*,-50,   2560.04
K-18,,2019-03-22,VISA,*Datenschutz*,-50,   2510.04
K-19,,2019-03-22,VISA,*Datenschutz*,-50,   2460.04
K-20,,2019-03-22,VISA,*Datenschutz*,-50,   2410.04
K-21,,2019-03-22,VISA,*Datenschutz*,-50,   2360.04
K-22,,2019-03-22,VISA,*Datenschutz*,-50,   2310.04
K-23,,2019-03-22,VISA,*Datenschutz*,-50,   2260.04
K-24,,2019-03-22,VISA,*Datenschutz*,-50,   2210.04
K-25,,2019-03-22,VISA,*Datenschutz*,-50,   2160.04
K-26,,2019-03-22,VISA,*Datenschutz*,-50,   2110.04
K-27,,1961-02-07,REISE,Bus Transfer Mbeya - Sumbawanga,-328.947368421053,   1781.09
K-28,,2019-03-23,PATIENT,Food for patients,-19.3498452012384,   1761.74
K-29,,2019-03-23,PATIENT,Food for patients,-19.3498452012384,   1742.39
K-30,,2019-03-23,PATIENT,Food for patients,-19.3498452012384,   1723.04
K-31,,2019-03-24,PATIENT,Food for patients,-19.3498452012384,   1703.69
K-32,,2019-03-24,PATIENT,Food for patients,-19.3498452012384,   1684.34
K-33,,2019-03-25,MAT,surgical gloves / bandages / povidone,-224.458204334365,   1459.88
K-34,,2019-03-25,MAT,Vicryl 3/0 - hand gloves,-113.777089783282,   1346.11
K-35,,2019-03-25,PATIENT,Food & Beverages for OT,-448.161764705882,    897.94
K-36,,2019-03-25,PATIENT,Food for patients,-19.3498452012384,    878.59
K-37,,2019-03-25,PATIENT,Food for patients,-19.3498452012384,    859.24
K-38,,2019-03-26,PATIENT,Water for patients,-42.5696594427245,    816.67
K-39,,2019-03-26,PATIENT,Food for patients,-19.3498452012384,    797.32
K-40,,2019-03-26,PATIENT,Food for patients,-19.3498452012384,    777.97
K-41,,2019-03-27,REPAIR,Maintenance Generator,-59.984520123839,    717.99
K-42,,2019-03-27,MAT,abdominal towels,-174.148606811146,    543.84
K-43,,2019-03-27,PATIENT,Food for patients,-19.3498452012384,    524.49
K-44,,2019-03-27,PATIENT,Food for patients,-19.3498452012384,    505.14
K-45,,2019-03-28,PATIENT,Water for patients,-42.5696594427245,    462.57
K-46,,2019-03-28,PATIENT,Food for patients,-19.3498452012384,    443.22
K-47,,2019-03-28,PATIENT,Food for patients,-19.3498452012384,    423.87
K-48,,2019-03-29,MAT,Vicryl 2/0,-90.5572755417957,    333.32
K-49,,2019-03-29,REPAIR,replacement lights,-10.4489164086687,    322.87
K-50,,2019-03-29,PATIENT,Food for patients,-19.3498452012384,    303.52
K-51,,2019-03-29,PATIENT,Food for patients,-19.3498452012384,    284.17
K-52,,2019-03-30,PATIENT,Water for patients,-42.5696594427245,    241.60
K-53,,2019-03-30,MAT,Cefuroxin,-67.7244582043344,    173.87
K-54,,2019-03-30,PATIENT,Food & Beverages for OT,-682.856037151703,   -508.98
K-55,,2019-03-30,PATIENT,Food for patients,-19.3498452012384,   -528.33
K-56,,2019-03-30,PATIENT,Food for patients,-19.3498452012384,   -547.68
K-57,,2019-03-31,PATIENT,Food for patients,-19.3498452012384,   -567.03
K-58,,2019-03-31,PATIENT,Food for patients,-19.3498452012384,   -586.38
K-59,,2019-04-01,PATIENT,Water for patients,-42.5696594427245,   -628.95
K-60,,2019-04-01,PATIENT,Food for patients,-19.3498452012384,   -648.30
K-61,,2019-04-01,PATIENT,Food for patients,-19.3498452012384,   -667.65
K-62,,2019-04-02,MAT,Povidone,-67.7244582043344,   -735.38
K-63,,2019-04-02,REISE,Diesel,-89.0092879256966,   -824.39
K-64,,2019-04-02,REISE,Diesel,-92.1052631578947,   -916.49
K-65,,2019-04-02,MAT,Hand Gloves,-43.5371517027864,   -960.03
K-66,,2019-04-02,PATIENT,Food for patients,-19.3498452012384,   -979.38
K-67,,2019-04-03,PATIENT,Water for patients,-42.5696594427245,  -1021.95
K-68,,2019-04-03,SPENDE,*Datenschutz*,1000,    -21.95
K-69,,2019-04-03,PATIENT,Food for patients,-19.3498452012384,    -41.30
K-70,,2019-04-03,PATIENT,Food for patients,-19.3498452012384,    -60.65
K-71,,2019-04-04,UNTERB,Farewell dinner for 32 persons,-255.611455108359,   -316.26
K-72,,2019-04-04,SPENDE,*Datenschutz*,1000,    683.74
K-73,,2019-04-04,ANSCH,Cup Board maternity,-615.789473684211,     67.95
K-74,,2019-04-04,MAT,bandages,-75.4643962848297,     -7.51
K-75,,2019-04-04,PATIENT,Food for patients,-19.3498452012384,    -26.86
K-76,,2019-04-04,PATIENT,Food for patients,-19.3498452012384,    -46.21
K-77,,2001-04-05,PATIENT,Food for patients,-19.3498452012384,    -65.56
K-78,,2019-04-05,PATIENT,Water for patients,-42.5696594427245,   -108.13
K-79,,2019-04-05,SPENDE,*Datenschutz*,30,    -78.13
K-80,,2019-04-05,REISE,Bus Transfer Sumbawanga - Meya,-328.947368421053,   -407.08
K-81,,2019-04-05,SPENDE,*Datenschutz*,20,   -387.08
K-82,,2019-04-05,PATIENT,Food for patients,-19.3498452012384,   -406.43
