Beleg,BelegURL,Datum,Kategorie,Adressat,Betrag,Saldo
B-1,,2019-01-01,INIT,Übertrag aus 2018,5789.83,5789.83
B-2,,2019-01-01,SPENDE,*Datenschutz*,200,5989.83
B-3,,2019-01-01,SPENDE,*Datenschutz*,300,6289.83
B-4,,2019-01-01,SPENDE,*Datenschutz*,25,6314.83
B-5,,2019-01-03,SPENDE,*Datenschutz*,1800,8114.83
B-6,,2019-01-06,SPENDE,*Datenschutz*,100,8214.83
B-7,,2019-01-08,SPENDE,*Datenschutz*,80,8294.83
B-8,,2019-02-15,SPENDE,*Datenschutz*,80,8374.83
B-9,,2019-02-19,SPENDE,*Datenschutz*,150,8524.83
B-10,,2019-02-25,SPENDE,*Datenschutz*,100,8624.83
B-11,,2019-03-05,SPENDE,*Datenschutz*,500,9124.83
B-12,,2019-03-05,BUCHH,Überweisung an Bank für Sozialwirtschaft ( 1440600 ),-8215.14,909.69
B-13,,2019-03-10,SPENDE,*Datenschutz*,300,1209.69
B-14,,2019-03-11,SPENDE,*Datenschutz*,350,1559.69
B-15,,2019-03-12,SPENDE,*Datenschutz*,50,1609.69
B-16,,2019-03-15,SPENDE,*Datenschutz*,30,1639.69
B-17,,2019-03-17,SPENDE,*Datenschutz*,3.35,1643.04
B-18,,2019-03-19,SPENDE,*Datenschutz*,250,1893.04
B-19,,2019-03-23,SPENDE,*Datenschutz*,71,1964.04
B-20,,2019-03-27,SPENDE,*Datenschutz*,846,2810.04
B-21,,2019-03-27,SPENDE,*Datenschutz*,404,3214.04
B-22,,2019-03-29,SPENDE,*Datenschutz*,200,3414.04
B-23,,2019-03-31,SPENDE,*Datenschutz*,200,3614.04
B-24,,2019-04-16,SPENDE,*Datenschutz*,1000,4614.04
B-25,,2019-04-17,SPENDE,*Datenschutz*,1000,5614.04
B-26,,2019-04-18,SPENDE,*Datenschutz*,20,5634.04
B-27,,2019-04-20,SPENDE,*Datenschutz*,20,5654.04
B-28,,2019-04-20,SPENDE,*Datenschutz*,50,5704.04
B-29,,2019-04-20,SPENDE,*Datenschutz*,50,5754.04
B-30,,2019-04-20,SPENDE,*Datenschutz*,50,5804.04
B-31,,2019-04-22,SPENDE,*Datenschutz*,100,5904.04
B-32,,2019-04-24,BUCHH,Überweisung an Bank für Sozialwirtschaft ( 1440600 ),-3367.99,2536.05
B-33,,2019-04-25,SPENDE,*Datenschutz*,500,3036.05
B-34,,2019-04-27,SPENDE,*Datenschutz*,50,3086.05
B-35,,2019-04-27,BUCHH,Transaktionskosten,-186.55,2899.50
